customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-101419,Male,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,72.3,2470.13,No
CUST-101059,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),76.26,1854.32,Yes
CUST-105723,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,77.69,1379.68,No
CUST-106849,Male,0,Yes,Yes,50,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,59.66,2989.51,No
CUST-102522,Male,0,No,No,67,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.74,4626.7,No
CUST-102516,Female,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,64.5,1472.31,No
CUST-104355,female ,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.88,533.23,Yes
CUST-100885,Female,1,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81.9,411.34,Yes
CUST-101915,Female,0,No,No,53,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,79.96,4257.11,No
CUST-106918,Male,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.01,783.19,No
CUST-106113,Female,0,No,No,65,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,64.68,4199.18,No
CUST-104243,Male,1,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.17,1185.51,No
CUST-104543,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),86.43,6219.82,No
CUST-105677,Male,0,No,No,40,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,87.54,3528.29,No
CUST-102959,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,64.52,543.25,Yes
CUST-101647,Female,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.32,293.34,Yes
CUST-100739,Female,0,Yes,Yes,46,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),59.13,2729.92,No
CUST-100786,Male,1,No,No,22,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),56.51,1222.02,No
CUST-102587,Male,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.38,533.78,No
CUST-105552,Female,1,No,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.22,913.7,No
CUST-103174,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.59,334.22,No
CUST-105260,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,91.74,2111.13,Yes
CUST-101707,female ,1,Yes,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),73.74,4506.29,Yes
CUST-103021,Male,0,No,No,63,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),85.18,5344.61,Yes
CUST-105797,Female,1,No,No,51,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,59.66,3061.97,No
CUST-103618,Male,0,No,No,54,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),54.25,2918.14,Yes
CUST-106808,Male,0,No,No,35,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),78.12,2754.62,No
CUST-106560,Female,1,No,No,16,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),61.99,975.3,Yes
CUST-105920,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.46,275.41,Yes
CUST-104035,Male,1,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,83.68,3436.35,No
CUST-106986,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.39,629.4,No
CUST-100275,Male,0,Yes,Yes,70,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.84,4846.76,No
CUST-101260,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,83.03,83.03,Yes
CUST-102976,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.21,2024.97,Yes
CUST-103556,Female,1,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,99.55,5776.94,No
CUST-103977,Female,0,No,Yes,11,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.35,981.6,No
CUST-106282,Female,0,Yes,Yes,57,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,58.44,3364.22,Yes
CUST-101841,Male,0,No,No,21,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),63.54,1312.25,No
CUST-100266,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,77.37,698.3,No
CUST-106923,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),72.82,5099.54,No
CUST-100706,Male,0,No,No,29,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,60.32,1714.0,No
CUST-101257,Female,1,Yes,Yes,37,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),62.95,2320.61,No
CUST-101830,Male,0,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.15,960.98,No
CUST-100948,Female,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.82,1815.98,No
CUST-102518,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,88.73,4886.35,No
CUST-104282,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.74,322.6,Yes
CUST-103408,Female,1,Yes,Yes,70,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),66.57,4671.31,No
CUST-101741,Female,0,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.43,503.55,No
CUST-104670,Male,1,Yes,No,49,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),67.54,3351.53,Yes
CUST-100740,Female,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,95.15,3803.4,Yes
CUST-101854,Male,1,Yes,No,19,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,61.25,1164.76,No
CUST-100332,Male,0,Yes,Yes,43,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.89,2953.61,No
CUST-105612,Female,0,No,No,34,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),75.86,2623.89,No
CUST-100500,Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,85.04,4655.47,No
CUST-100650,Male,0,Yes,No,65,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),61.24,3990.15,No
CUST-105747,Male,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.34,2112.26,No
CUST-104882,Male,0,No,No,46,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,64.4,2928.42,No
CUST-106312,Male,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),62.76,138.5,No
CUST-105724,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.12,2549.91,Yes
CUST-105373,Male,0,No,No,32,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),88.47,2832.03,Yes
CUST-106338,Female,1,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),77.54,3419.23,Yes
CUST-102483,Male,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.98,2144.57,No
CUST-101555,Male,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.03,1180.88,No
CUST-100596,Female,0,Yes,Yes,11,No,No phone service,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,54.34,627.07,No
CUST-103641,Female,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.08,1633.46,No
CUST-100947,Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.19,326.71,No
CUST-102905,Female,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,69.52,3278.53,Yes
CUST-105276,Male,0,Yes,No,5,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),52.78,274.41,No
CUST-102805,Female,0,Yes,No,44,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),74.29,3252.41,No
CUST-105611,Male,0,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),102.74,5422.6,No
CUST-103240,Male,0,No,No,8,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,54.71,447.67,No
CUST-104196,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),77.44,3024.77,No
CUST-102101,Female,0,No,No,38,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,49.57,1899.49,No
CUST-101409,Male,0,No,No,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),79.39,3579.9,No
CUST-102461,Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),90.32,5419.04,No
CUST-101269,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.31,478.21,No
CUST-100962,Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.02,830.19,No
CUST-106757,Male,0,Yes,No,30,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,53.13,1583.73,No
CUST-101955,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,81.25,1952.83,No
CUST-100351,Male,0,Yes,No,46,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,63.87,2956.61,No
CUST-100915,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),70.21,2184.71,No
CUST-101242,Female,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.22,404.83,Yes
CUST-102744,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),82.05,1401.05,No
CUST-103628,Female,1,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.26,817.95,No
CUST-102547,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.35,875.62,No
CUST-100762,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.66,1272.9,No
CUST-106716,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.48,423.49,Yes
CUST-105277,Female,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),70.6,2456.12,No
CUST-101772,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),81.69,2362.55,No
CUST-103759,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.2,483.24,No
CUST-101795,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.01,51.45,No
CUST-100008,Male,0,Yes,No,31,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),74.27,2337.33,No
CUST-100687,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.42,1469.12,No
CUST-101634,Male,1,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.87,847.57,No
CUST-102043,Female,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,90.1,5653.46,No
CUST-105688,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,75.31,2195.51,No
CUST-104552,Male,1,No,Yes,52,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,60.98,3170.78,Yes
CUST-105836,Female,0,Yes,No,3,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.5,224.06,No
CUST-102711,Male,0,Yes,No,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),61.81,4042.97,No
CUST-104466,Female,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,69.75,4041.83,No
CUST-102190,Male,0,Yes,No,14,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,58.48,835.21,Yes
CUST-102688,Female,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.88,1670.1,No
CUST-102130,Female,0,Yes,No,21,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,50.25,1088.45,No
CUST-101034,Male,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.53,877.78,No
CUST-104950,Male,1,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.12,992.11,No
CUST-103340,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,82.75,1877.58,Yes
CUST-100863,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,83.99,2706.78,Yes
CUST-103708,Male,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,93.98,2248.94,No
CUST-101872,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),67.98,1780.12,No
CUST-104448,Female,0,No,No,12,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),72.97,849.61,Yes
CUST-106729,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),88.65,2642.27,No
CUST-102420,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.73,471.95,No
CUST-102930,Male,0,No,No,29,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,52.49,1528.88,No
CUST-100101,Male,0,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.12,1925.38,No
CUST-105510,Male,0,Yes,Yes,31,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),50.78,1604.95,No
CUST-103359,Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,81.44,1241.11,Yes
CUST-106381,Male,0,Yes,Yes,54,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,52.91,2857.61,No
CUST-102466,Male,0,No,No,65,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),73.79,4827.05,Yes
CUST-105800,Male,0,Yes,Yes,58,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),57.55,3365.46,No
CUST-103222,Female,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.04,1076.68,No
CUST-102203,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.23,488.35,Yes
CUST-102039,Male,0,No,No,69,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,71.73,4959.59,No
CUST-101683,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,93.14,820.76,No
CUST-103274,Male,0,No,No,16,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),54.17,893.35,Yes
CUST-101811,Female,0,No,Yes,70,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.8,5378.58,No
CUST-101739,Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),100.36,128.21,Yes
CUST-100974,Male,0,Yes,No,40,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,57.81,2298.65,No
CUST-103610,Female,1,No,No,68,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),60.87,4124.57,No
CUST-106648,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),88.88,1563.21,No
CUST-101899,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),86.93,425.51,No
CUST-105093,Female,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.56,82.91,Yes
